# ECG I-Ref,ECG II-Ref,ECG III-Ref,ECG AVR-Ref,ECG AVL-Ref,ECG AVF-Ref,ECG V1-Ref,ECG V2-Ref,ECG V3-Ref,ECG V4-Ref,ECG V5-Ref,ECG V6-Ref
-1.200000000000000030e-04,5.000000000000000409e-06,1.250000000000000026e-04,6.000000000000000152e-05,-1.200000000000000030e-04,6.000000000000000152e-05,-2.600000000000000314e-04,-2.250000000000000209e-04,5.000000000000000409e-06,-2.000000000000000164e-05,-6.500000000000000786e-05,5.000000000000000240e-05
-1.499999999999999869e-04,5.000000000000000240e-05,2.000000000000000096e-04,5.000000000000000240e-05,-1.700000000000000122e-04,1.200000000000000030e-04,-2.999999999999999737e-04,-2.600000000000000314e-04,-2.000000000000000164e-05,-5.000000000000000240e-05,-8.000000000000000654e-05,2.000000000000000164e-05
-1.000000000000000048e-04,1.000000000000000048e-04,2.000000000000000096e-04,5.000000000000000409e-06,-1.499999999999999869e-04,1.450000000000000009e-04,-2.600000000000000314e-04,-1.900000000000000105e-04,0.000000000000000000e+00,-5.500000000000000196e-05,-5.500000000000000196e-05,4.000000000000000327e-05
-5.000000000000000240e-05,1.499999999999999869e-04,2.000000000000000096e-04,-4.000000000000000327e-05,-1.300000000000000157e-04,1.700000000000000122e-04,-2.200000000000000078e-04,-1.200000000000000030e-04,2.000000000000000164e-05,-6.000000000000000152e-05,-3.000000000000000076e-05,6.000000000000000152e-05
1.500000000000000038e-05,1.350000000000000017e-04,1.200000000000000030e-04,-6.500000000000000786e-05,-6.000000000000000152e-05,1.250000000000000026e-04,-1.600000000000000131e-04,-4.499999999999999606e-05,4.499999999999999606e-05,-4.000000000000000327e-05,-5.000000000000000409e-06,1.050000000000000044e-04
8.000000000000000654e-05,1.200000000000000030e-04,4.000000000000000327e-05,-8.999999999999999212e-05,1.000000000000000082e-05,8.000000000000000654e-05,-1.000000000000000048e-04,3.000000000000000076e-05,7.000000000000000742e-05,-2.000000000000000164e-05,2.000000000000000164e-05,1.499999999999999869e-04
7.000000000000000742e-05,7.000000000000000742e-05,0.000000000000000000e+00,-6.000000000000000152e-05,2.500000000000000120e-05,3.500000000000000371e-05,-8.500000000000000611e-05,3.500000000000000371e-05,9.500000000000000523e-05,1.500000000000000038e-05,3.500000000000000371e-05,1.700000000000000122e-04
6.000000000000000152e-05,2.000000000000000164e-05,-4.000000000000000327e-05,-3.000000000000000076e-05,4.000000000000000327e-05,-1.000000000000000082e-05,-7.000000000000000742e-05,4.000000000000000327e-05,1.200000000000000030e-04,5.000000000000000240e-05,5.000000000000000240e-05,1.900000000000000105e-04
-5.000000000000000409e-06,1.500000000000000038e-05,2.000000000000000164e-05,0.000000000000000000e+00,-1.500000000000000038e-05,1.500000000000000038e-05,-1.400000000000000148e-04,-5.000000000000000240e-05,9.500000000000000523e-05,5.000000000000000240e-05,2.000000000000000164e-05,1.499999999999999869e-04
-7.000000000000000742e-05,1.000000000000000082e-05,8.000000000000000654e-05,3.000000000000000076e-05,-7.000000000000000742e-05,4.000000000000000327e-05,-2.100000000000000087e-04,-1.400000000000000148e-04,7.000000000000000742e-05,5.000000000000000240e-05,-1.000000000000000082e-05,1.100000000000000039e-04
-8.000000000000000654e-05,5.500000000000000196e-05,1.350000000000000017e-04,1.500000000000000038e-05,-1.050000000000000044e-04,8.999999999999999212e-05,-2.600000000000000314e-04,-1.799999999999999842e-04,4.499999999999999606e-05,1.500000000000000038e-05,-3.000000000000000076e-05,8.000000000000000654e-05
-8.999999999999999212e-05,1.000000000000000048e-04,1.900000000000000105e-04,0.000000000000000000e+00,-1.400000000000000148e-04,1.400000000000000148e-04,-3.099999999999999999e-04,-2.200000000000000078e-04,2.000000000000000164e-05,-2.000000000000000164e-05,-5.000000000000000240e-05,5.000000000000000240e-05
-6.000000000000000152e-05,1.499999999999999869e-04,2.100000000000000087e-04,-4.000000000000000327e-05,-1.350000000000000017e-04,1.750000000000000253e-04,-2.750000000000000166e-04,-1.550000000000000000e-04,3.500000000000000371e-05,-2.500000000000000120e-05,-3.000000000000000076e-05,6.500000000000000786e-05
-3.000000000000000076e-05,2.000000000000000096e-04,2.300000000000000070e-04,-8.000000000000000654e-05,-1.300000000000000157e-04,2.100000000000000087e-04,-2.400000000000000061e-04,-8.999999999999999212e-05,5.000000000000000240e-05,-3.000000000000000076e-05,-1.000000000000000082e-05,8.000000000000000654e-05
4.000000000000000327e-05,1.900000000000000105e-04,1.499999999999999869e-04,-1.100000000000000039e-04,-5.500000000000000196e-05,1.649999999999999991e-04,-1.700000000000000122e-04,-5.000000000000000409e-06,8.999999999999999212e-05,5.000000000000000409e-06,3.500000000000000371e-05,1.400000000000000148e-04
1.100000000000000039e-04,1.799999999999999842e-04,7.000000000000000742e-05,-1.400000000000000148e-04,2.000000000000000164e-05,1.200000000000000030e-04,-1.000000000000000048e-04,8.000000000000000654e-05,1.300000000000000157e-04,4.000000000000000327e-05,8.000000000000000654e-05,2.000000000000000096e-04
1.150000000000000035e-04,1.400000000000000148e-04,2.500000000000000120e-05,-1.200000000000000030e-04,4.000000000000000327e-05,8.000000000000000654e-05,-8.500000000000000611e-05,8.500000000000000611e-05,1.550000000000000000e-04,8.000000000000000654e-05,1.000000000000000048e-04,2.250000000000000209e-04
1.200000000000000030e-04,1.000000000000000048e-04,-2.000000000000000164e-05,-1.000000000000000048e-04,6.000000000000000152e-05,4.000000000000000327e-05,-7.000000000000000742e-05,8.999999999999999212e-05,1.799999999999999842e-04,1.200000000000000030e-04,1.200000000000000030e-04,2.500000000000000052e-04
4.499999999999999606e-05,8.000000000000000654e-05,3.500000000000000371e-05,-5.500000000000000196e-05,0.000000000000000000e+00,5.500000000000000196e-05,-1.400000000000000148e-04,-1.000000000000000082e-05,1.550000000000000000e-04,1.150000000000000035e-04,8.500000000000000611e-05,2.149999999999999947e-04
-3.000000000000000076e-05,6.000000000000000152e-05,8.999999999999999212e-05,-1.000000000000000082e-05,-6.000000000000000152e-05,7.000000000000000742e-05,-2.100000000000000087e-04,-1.100000000000000039e-04,1.300000000000000157e-04,1.100000000000000039e-04,5.000000000000000240e-05,1.799999999999999842e-04
-5.000000000000000240e-05,1.100000000000000039e-04,1.600000000000000131e-04,-2.500000000000000120e-05,-1.050000000000000044e-04,1.300000000000000157e-04,-2.550000000000000183e-04,-1.450000000000000009e-04,1.050000000000000044e-04,7.499999999999999343e-05,3.000000000000000076e-05,1.450000000000000009e-04
-7.000000000000000742e-05,1.600000000000000131e-04,2.300000000000000070e-04,-4.000000000000000327e-05,-1.499999999999999869e-04,1.900000000000000105e-04,-2.999999999999999737e-04,-1.799999999999999842e-04,8.000000000000000654e-05,4.000000000000000327e-05,1.000000000000000082e-05,1.100000000000000039e-04
-2.000000000000000164e-05,2.100000000000000087e-04,2.300000000000000070e-04,-8.999999999999999212e-05,-1.250000000000000026e-04,2.149999999999999947e-04,-2.650000000000000445e-04,-1.150000000000000035e-04,9.500000000000000523e-05,3.500000000000000371e-05,3.000000000000000076e-05,1.350000000000000017e-04
3.000000000000000076e-05,2.600000000000000314e-04,2.300000000000000070e-04,-1.400000000000000148e-04,-1.000000000000000048e-04,2.400000000000000061e-04,-2.300000000000000070e-04,-5.000000000000000240e-05,1.100000000000000039e-04,3.000000000000000076e-05,5.000000000000000240e-05,1.600000000000000131e-04
1.000000000000000048e-04,2.500000000000000052e-04,1.499999999999999869e-04,-1.700000000000000122e-04,-2.500000000000000120e-05,1.950000000000000236e-04,-1.700000000000000122e-04,2.500000000000000120e-05,1.400000000000000148e-04,6.000000000000000152e-05,9.500000000000000523e-05,2.100000000000000087e-04
1.700000000000000122e-04,2.400000000000000061e-04,7.000000000000000742e-05,-2.000000000000000096e-04,5.000000000000000240e-05,1.499999999999999869e-04,-1.100000000000000039e-04,1.000000000000000048e-04,1.700000000000000122e-04,8.999999999999999212e-05,1.400000000000000148e-04,2.600000000000000314e-04
1.550000000000000000e-04,1.849999999999999973e-04,3.000000000000000076e-05,-1.649999999999999991e-04,6.000000000000000152e-05,1.050000000000000044e-04,-1.000000000000000048e-04,1.000000000000000048e-04,1.849999999999999973e-04,1.250000000000000026e-04,1.499999999999999869e-04,2.800000000000000297e-04
1.400000000000000148e-04,1.300000000000000157e-04,-1.000000000000000082e-05,-1.300000000000000157e-04,7.000000000000000742e-05,6.000000000000000152e-05,-8.999999999999999212e-05,1.000000000000000048e-04,2.000000000000000096e-04,1.600000000000000131e-04,1.600000000000000131e-04,2.999999999999999737e-04
8.000000000000000654e-05,1.250000000000000026e-04,4.499999999999999606e-05,-9.500000000000000523e-05,1.000000000000000082e-05,8.500000000000000611e-05,-1.550000000000000000e-04,5.000000000000000409e-06,1.799999999999999842e-04,1.600000000000000131e-04,1.300000000000000157e-04,2.700000000000000035e-04
2.000000000000000164e-05,1.200000000000000030e-04,1.000000000000000048e-04,-6.000000000000000152e-05,-5.000000000000000240e-05,1.100000000000000039e-04,-2.200000000000000078e-04,-8.999999999999999212e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.000000000000000048e-04,2.400000000000000061e-04
-5.000000000000000409e-06,1.649999999999999991e-04,1.700000000000000122e-04,-7.000000000000000742e-05,-9.500000000000000523e-05,1.649999999999999991e-04,-2.600000000000000314e-04,-1.300000000000000157e-04,1.400000000000000148e-04,1.250000000000000026e-04,8.500000000000000611e-05,2.050000000000000227e-04
-3.000000000000000076e-05,2.100000000000000087e-04,2.400000000000000061e-04,-8.000000000000000654e-05,-1.400000000000000148e-04,2.200000000000000078e-04,-2.999999999999999737e-04,-1.700000000000000122e-04,1.200000000000000030e-04,8.999999999999999212e-05,7.000000000000000742e-05,1.700000000000000122e-04
3.000000000000000076e-05,2.500000000000000052e-04,2.200000000000000078e-04,-1.300000000000000157e-04,-1.000000000000000048e-04,2.300000000000000070e-04,-2.750000000000000166e-04,-1.100000000000000039e-04,1.250000000000000026e-04,7.499999999999999343e-05,8.500000000000000611e-05,1.900000000000000105e-04
8.999999999999999212e-05,2.900000000000000017e-04,2.000000000000000096e-04,-1.799999999999999842e-04,-6.000000000000000152e-05,2.400000000000000061e-04,-2.500000000000000052e-04,-5.000000000000000240e-05,1.300000000000000157e-04,6.000000000000000152e-05,1.000000000000000048e-04,2.100000000000000087e-04
1.550000000000000000e-04,2.850000000000000428e-04,1.300000000000000157e-04,-2.100000000000000087e-04,5.000000000000000409e-06,2.050000000000000227e-04,-1.900000000000000105e-04,2.500000000000000120e-05,1.550000000000000000e-04,8.999999999999999212e-05,1.300000000000000157e-04,2.600000000000000314e-04
2.200000000000000078e-04,2.800000000000000297e-04,6.000000000000000152e-05,-2.400000000000000061e-04,7.000000000000000742e-05,1.700000000000000122e-04,-1.300000000000000157e-04,1.000000000000000048e-04,1.799999999999999842e-04,1.200000000000000030e-04,1.600000000000000131e-04,3.099999999999999999e-04
2.050000000000000227e-04,2.200000000000000078e-04,1.500000000000000038e-05,-2.050000000000000227e-04,8.999999999999999212e-05,1.150000000000000035e-04,-1.150000000000000035e-04,8.999999999999999212e-05,1.950000000000000236e-04,1.450000000000000009e-04,1.750000000000000253e-04,3.200000000000000262e-04
1.900000000000000105e-04,1.600000000000000131e-04,-3.000000000000000076e-05,-1.700000000000000122e-04,1.100000000000000039e-04,6.000000000000000152e-05,-1.000000000000000048e-04,8.000000000000000654e-05,2.100000000000000087e-04,1.700000000000000122e-04,1.900000000000000105e-04,3.299999999999999982e-04
1.250000000000000026e-04,1.499999999999999869e-04,2.500000000000000120e-05,-1.300000000000000157e-04,4.499999999999999606e-05,8.500000000000000611e-05,-1.750000000000000253e-04,-1.500000000000000038e-05,1.849999999999999973e-04,1.649999999999999991e-04,1.550000000000000000e-04,2.950000000000000148e-04
6.000000000000000152e-05,1.400000000000000148e-04,8.000000000000000654e-05,-8.999999999999999212e-05,-2.000000000000000164e-05,1.100000000000000039e-04,-2.500000000000000052e-04,-1.100000000000000039e-04,1.600000000000000131e-04,1.600000000000000131e-04,1.200000000000000030e-04,2.600000000000000314e-04
4.000000000000000327e-05,1.849999999999999973e-04,1.450000000000000009e-04,-1.050000000000000044e-04,-6.000000000000000152e-05,1.649999999999999991e-04,-2.850000000000000428e-04,-1.450000000000000009e-04,1.450000000000000009e-04,1.350000000000000017e-04,1.000000000000000048e-04,2.300000000000000070e-04
2.000000000000000164e-05,2.300000000000000070e-04,2.100000000000000087e-04,-1.200000000000000030e-04,-1.000000000000000048e-04,2.200000000000000078e-04,-3.200000000000000262e-04,-1.799999999999999842e-04,1.300000000000000157e-04,1.100000000000000039e-04,8.000000000000000654e-05,2.000000000000000096e-04
5.500000000000000196e-05,2.650000000000000445e-04,2.100000000000000087e-04,-1.550000000000000000e-04,-8.000000000000000654e-05,2.350000000000000201e-04,-2.950000000000000148e-04,-1.300000000000000157e-04,1.250000000000000026e-04,8.500000000000000611e-05,8.999999999999999212e-05,2.050000000000000227e-04
8.999999999999999212e-05,2.999999999999999737e-04,2.100000000000000087e-04,-1.900000000000000105e-04,-6.000000000000000152e-05,2.500000000000000052e-04,-2.700000000000000035e-04,-8.000000000000000654e-05,1.200000000000000030e-04,6.000000000000000152e-05,1.000000000000000048e-04,2.100000000000000087e-04
1.499999999999999869e-04,2.700000000000000035e-04,1.200000000000000030e-04,-2.050000000000000227e-04,1.500000000000000038e-05,1.900000000000000105e-04,-2.000000000000000096e-04,0.000000000000000000e+00,1.499999999999999869e-04,8.999999999999999212e-05,1.400000000000000148e-04,2.600000000000000314e-04
2.100000000000000087e-04,2.400000000000000061e-04,3.000000000000000076e-05,-2.200000000000000078e-04,8.999999999999999212e-05,1.300000000000000157e-04,-1.300000000000000157e-04,8.000000000000000654e-05,1.799999999999999842e-04,1.200000000000000030e-04,1.799999999999999842e-04,3.099999999999999999e-04
2.100000000000000087e-04,1.950000000000000236e-04,-1.500000000000000038e-05,-1.950000000000000236e-04,1.100000000000000039e-04,8.500000000000000611e-05,-1.150000000000000035e-04,7.499999999999999343e-05,1.950000000000000236e-04,1.499999999999999869e-04,1.849999999999999973e-04,3.200000000000000262e-04
2.100000000000000087e-04,1.499999999999999869e-04,-6.000000000000000152e-05,-1.700000000000000122e-04,1.300000000000000157e-04,4.000000000000000327e-05,-1.000000000000000048e-04,7.000000000000000742e-05,2.100000000000000087e-04,1.799999999999999842e-04,1.900000000000000105e-04,3.299999999999999982e-04
1.400000000000000148e-04,1.400000000000000148e-04,0.000000000000000000e+00,-1.300000000000000157e-04,6.500000000000000786e-05,6.500000000000000786e-05,-1.750000000000000253e-04,-3.500000000000000371e-05,1.799999999999999842e-04,1.700000000000000122e-04,1.550000000000000000e-04,2.900000000000000017e-04
7.000000000000000742e-05,1.300000000000000157e-04,6.000000000000000152e-05,-8.999999999999999212e-05,0.000000000000000000e+00,8.999999999999999212e-05,-2.500000000000000052e-04,-1.400000000000000148e-04,1.499999999999999869e-04,1.600000000000000131e-04,1.200000000000000030e-04,2.500000000000000052e-04
3.000000000000000076e-05,1.550000000000000000e-04,1.250000000000000026e-04,-8.500000000000000611e-05,-5.000000000000000240e-05,1.350000000000000017e-04,-2.950000000000000148e-04,-1.849999999999999973e-04,1.100000000000000039e-04,1.150000000000000035e-04,8.500000000000000611e-05,2.050000000000000227e-04
-1.000000000000000082e-05,1.799999999999999842e-04,1.900000000000000105e-04,-8.000000000000000654e-05,-1.000000000000000048e-04,1.799999999999999842e-04,-3.400000000000000244e-04,-2.300000000000000070e-04,7.000000000000000742e-05,7.000000000000000742e-05,5.000000000000000240e-05,1.600000000000000131e-04
3.500000000000000371e-05,2.100000000000000087e-04,1.750000000000000253e-04,-1.150000000000000035e-04,-7.499999999999999343e-05,1.900000000000000105e-04,-3.099999999999999999e-04,-1.750000000000000253e-04,7.499999999999999343e-05,5.000000000000000240e-05,6.500000000000000786e-05,1.700000000000000122e-04
8.000000000000000654e-05,2.400000000000000061e-04,1.600000000000000131e-04,-1.499999999999999869e-04,-5.000000000000000240e-05,2.000000000000000096e-04,-2.800000000000000297e-04,-1.200000000000000030e-04,8.000000000000000654e-05,3.000000000000000076e-05,8.000000000000000654e-05,1.799999999999999842e-04
1.450000000000000009e-04,2.200000000000000078e-04,7.499999999999999343e-05,-1.750000000000000253e-04,3.000000000000000076e-05,1.450000000000000009e-04,-2.149999999999999947e-04,-4.499999999999999606e-05,1.050000000000000044e-04,5.500000000000000196e-05,1.050000000000000044e-04,2.250000000000000209e-04
2.100000000000000087e-04,2.000000000000000096e-04,-1.000000000000000082e-05,-2.000000000000000096e-04,1.100000000000000039e-04,8.999999999999999212e-05,-1.499999999999999869e-04,3.000000000000000076e-05,1.300000000000000157e-04,8.000000000000000654e-05,1.300000000000000157e-04,2.700000000000000035e-04
